#gender,ageRange,protein(g),fiber(g),water(ml),vitaminC(mg),thiamine(mg),riboflavin(mg),niacin(mgNE),vitaminB6(mg),folacin(レgDFE),vitaminB12(レg),pantothenic(mg),biotin(レg),vitaminA(レgRAE),vitaminD(レg),vitaminE(mgメ-TE),vitaminK(レg),calcium(mg),phosphorus(mg),sodium(g),chlorine(g),potassium(g),magnesium(mg),iron(mg),zinc(mg),copper(レg),fluorine(mg),manganese(mg),iodine(レg),selenium(レg)
MALE,6~8,30,20,1800,55,1,1,9,1,220,1,3,15,450,5,7,45,700,600,1,2,3,160,9,5,440,1,3,100,35
MALE,9~11,40,20,2100,70,1,1,12,1,300,2,4,20,600,5,9,55,800,1200,1,2,3,230,10,8,580,2,3,110,45
MALE,12~14,55,25,2300,90,1,2,15,2,360,2,5,25,750,10,10,70,1000,1200,2,2,4,320,14,8,740,3,4,130,60
MALE,15~18,65,25,2600,105,1,2,17,2,400,3,5,30,850,10,11,80,900,1200,2,2,4,400,14,10,840,3,4,130,65
MALE,19~29,65,25,2600,100,1,2,16,2,400,2,5,30,800,10,12,75,800,700,2,2,4,350,10,10,800,4,4,150,60
MALE,30~49,60,25,2500,100,1,2,16,2,400,2,5,30,750,10,12,75,800,700,2,2,4,370,10,9,800,3,4,150,60
MALE,50~64,60,25,2200,100,1,2,16,2,400,2,5,30,750,10,12,75,750,700,2,2,4,370,10,9,800,3,4,150,60
MALE,65~74,55,25,2100,100,1,2,16,2,400,2,5,30,700,15,12,75,700,700,1,2,4,370,9,9,800,3,4,150,60
MALE,75~,55,25,2100,100,1,2,16,2,400,2,5,30,700,15,12,75,700,700,1,2,4,370,9,9,800,3,4,150,60
FEMALE,6~8,25,20,1700,60,1,1,9,1,220,1,3,15,400,5,7,45,700,550,1,2,3,150,8,5,440,1,3,100,35
FEMALE,9~11,40,20,1900,80,1,1,12,1,300,2,4,20,550,5,9,55,800,1200,1,2,3,210,10,7,580,2,3,110,45
FEMALE,12~14,50,20,2000,100,1,1,15,1,360,2,5,25,650,10,10,65,900,1200,2,2,4,290,16,7,740,3,4,130,60
FEMALE,15~18,50,20,2000,95,1,1,14,1,400,2,5,30,600,10,11,65,800,1200,2,2,4,340,14,9,840,3,4,130,65
FEMALE,19~29,55,20,2100,100,1,1,14,1,400,2,5,30,650,10,12,65,700,700,2,2,4,280,14,8,800,3,4,150,60
FEMALE,30~49,50,20,2000,100,1,1,14,1,400,2,5,30,650,10,12,65,700,700,2,2,4,280,14,8,800,3,4,150,60
FEMALE,50~64,50,20,1900,100,1,1,14,1,400,2,5,30,600,10,12,65,800,700,2,2,4,280,8,8,800,3,4,150,60
FEMALE,65~74,45,20,1800,100,1,1,14,1,400,2,5,30,550,15,12,65,800,700,1,2,4,280,8,7,800,3,4,150,60
FEMALE,75~,45,20,1800,100,1,1,14,1,400,2,5,30,550,15,12,65,800,700,1,2,4,280,7,7,800,3,4,150,60
